city_id,city_name,climate_group,model_name,held_out_block,spatial_split_id,split_seed,tuning_preset,sample_rows_per_city_cap,effective_city_row_count,observed_spatial_block_count,train_row_count,test_row_count,test_positive_count,test_prevalence,pr_auc,recall_at_top_10pct,best_inner_cv_average_precision,effective_inner_cv_splits,spatial_block_rule
10,Reno,hot_arid,logistic_saga,southwest,1,42,smoke,20000,20000,4,14741,5259,101,0.019205172085947898,0.3757490614995143,0.9603960396039604,0.5179450426364197,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
10,Reno,hot_arid,logistic_saga,southeast,2,43,smoke,20000,20000,4,15259,4741,525,0.11073613161780216,0.529109991897209,0.5676190476190476,0.47261736642901214,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
10,Reno,hot_arid,logistic_saga,northwest,3,44,smoke,20000,20000,4,15259,4741,93,0.019616114743724954,0.43216014137173714,0.9139784946236559,0.5153080787378641,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
10,Reno,hot_arid,logistic_saga,northeast,4,45,smoke,20000,20000,4,14741,5259,1281,0.24358243011979464,0.4383453321702248,0.2185792349726776,0.5515841626953707,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
19,Charlotte,hot_humid,logistic_saga,southwest,1,42,smoke,20000,20000,4,16339,3661,477,0.13029226987161976,0.17004168908388134,0.1530398322851153,0.1382274964435957,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
19,Charlotte,hot_humid,logistic_saga,southeast,2,43,smoke,20000,20000,4,13661,6339,834,0.13156649313771887,0.1571633845677278,0.11390887290167866,0.15333507602310925,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
19,Charlotte,hot_humid,logistic_saga,northwest,3,44,smoke,20000,20000,4,13661,6339,443,0.06988483988010727,0.09322534254553379,0.1399548532731377,0.16601218806603654,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
19,Charlotte,hot_humid,logistic_saga,northeast,4,45,smoke,20000,20000,4,16339,3661,246,0.0671947555312756,0.1336858652733668,0.24796747967479674,0.15269840155130296,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
29,Detroit,mild_cool,logistic_saga,southwest,1,42,smoke,20000,20000,4,14510,5490,1079,0.1965391621129326,0.2825998079864235,0.1705282669138091,0.14918163216496474,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
29,Detroit,mild_cool,logistic_saga,southeast,2,43,smoke,20000,20000,4,15490,4510,471,0.10443458980044346,0.10840826195687571,0.10828025477707007,0.21841611066689615,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
29,Detroit,mild_cool,logistic_saga,northwest,3,44,smoke,20000,20000,4,15490,4510,124,0.027494456762749447,0.13692044572626175,0.4274193548387097,0.1847533526942129,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
29,Detroit,mild_cool,logistic_saga,northeast,4,45,smoke,20000,20000,4,14510,5490,326,0.059380692167577416,0.17569929078784133,0.29141104294478526,0.1885745008388178,3,"deterministic centroid quadrants using city-specific median centroid_lon and centroid_lat, with ties assigned to the north/east side via >= median comparisons"
